Uberstrain,Name,Data.Source.Accession.No..Sequencing.Platform.Sequencing.Library.Insert.Size.Experiment.Status.,Source.Niche,Source.Type,Source.Details,Collection.Year,Collection.Month,Collection.Day,Collection.Time,Continent,Country,Region,District,City,Post.Code,Latitude,Longitude,Lab.Contact,Species,Serological.Group,Serotype,EcoR.Cluster,Path.Nonpath,Simple.Patho,Comment,Simple.Disease,Disease,Bio.Project.ID,Project.ID,Sample.ID,Secondary.Sample.ID,Date.Entered,Release.Date,Barcode,Differences,ST,ST.Complex,Lineage,Subspecies,adk,fumC,gyrB,icd,mdh,purA,recA
ESC_AA3305AA,EVL_C312-05,traces-0TzzxHU;7GeneMLST;ND;;NA;Legacy,,Human,Human,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,SSI,,,O156:H-,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3305AA,NA,715,,,NA,51,48,132,139,35,42,100
ESC_AA3369AA,77522012-60,traces-0AoJQnB;7GeneMLST;ND;;NA;Legacy,,Human,Human,2000,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Pathogen,,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3369AA,NA,754,,,NA,6,95,3,18,11,25,6
ESC_AA3373AA,0386C02,traces-0XniXBK;7GeneMLST;ND;;NA;Legacy,,Human,Human,2002,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3373AA,NA,757,ST10 Cplx,A,NA,136,11,4,1,8,8,2
ESC_AA3383AA,0785C03,traces-0ePQTiT;7GeneMLST;ND;;NA;Legacy,,Human,Human,2003,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3383AA,NA,766,ST349 Cplx,,NA,34,36,39,87,67,114,4
ESC_AA3384AA,29-1A,traces-0gdVJNP;7GeneMLST;ND;;NA;Legacy,,Human,Human,1997,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3384AA,NA,767,ST155 Cplx,,NA,6,4,4,16,24,8,104
ESC_AA3386AA,7622034-3,traces-0ZqQnUE;7GeneMLST;ND;;NA;Legacy,,Food,Poultry,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3386AA,NA,770,,D,NA,52,116,55,101,113,40,38
ESC_AA3389AA,7633002-3,traces-0kaDxNy;7GeneMLST;ND;;NA;Legacy,,Food,Poultry,2004,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3389AA,NA,771,,,NA,10,11,4,148,8,8,2
ESC_AA3391AA,21704970-9a,traces-0htAsFI;7GeneMLST;ND;;NA;Legacy,,Human,Human,2000,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Pathogen,,,None,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3391AA,NA,773,ST168 Cplx,A,NA,6,165,4,10,7,8,6
ESC_AA3396AA,79-1A,traces-0vOcIWj;7GeneMLST;ND;;NA;Legacy,,Human,Human,1997,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3396AA,NA,778,ST38 Cplx,,NA,4,26,10,25,5,5,19
ESC_AA3406AA,VB 992064,traces-0mKvBQT;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,n.t.,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3406AA,NA,788,,B2,NA,142,67,13,150,91,115,11
ESC_AA3409AA,21803961-120,traces-0uAITfr;7GeneMLST;ND;;NA;Legacy,,Human,Human,2000,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Pathogen,,,None,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3409AA,NA,791,,,NA,6,4,12,1,7,12,7
ESC_AA3410AA,3387,traces-0UtRlRQ;7GeneMLST;ND;;NA;Legacy,,Human,Human,1969,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Nat. Center Antimicrobials & Infection Control (Statens Serum Inst.),,,,,Pathogen,,,None,Septicemia,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3410AA,NA,792,ST59 Cplx,,NA,27,32,24,29,16,19,22
ESC_AA3426AA,Melh. 5A8,traces-0XFzHMk;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Poultry,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Institute for disease,,,,,Pathogen,APEC,,None,Colibacillosis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3426AA,NA,808,ST95 Cplx,,NA,36,38,19,37,17,11,26
ESC_AA3599AA,VB 957594,traces-0FVbLJL;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,O2,O2:H6,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA3599AA,NA,998,,B2,NA,13,52,156,14,17,25,17
ESC_AA4257AA,F70 3C5,traces-0jxVfNW;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Poultry,2009,NA,NA,NA,Europe,Denmark,,,Copenhagen,NA,NA,NA,Ins. for disease biology,,,,,Pathogen,,,None,Colibacillosis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4257AA,NA,1593,,,NA,1,15,22,26,5,49,2
ESC_AA4259AA,F57 H4Salp4,traces-0ePWkmi;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Poultry,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Ins. for disease biology,,,,,Pathogen,APEC,,None,Colibacillosis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4259AA,NA,1594,ST168 Cplx,A,NA,6,11,4,234,7,8,6
ESC_AA4264AA,Melh. 7B3,traces-0AcCpIr;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Poultry,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Ins. for disease biology,,,,,Pathogen,APEC,,None,Colibacillosis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4264AA,NA,1599,,,NA,6,7,4,10,7,8,6
ESC_AA4265AA,Melh. 6C7,traces-0TjBngf;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Poultry,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Ins. for disease biology,,,,,Pathogen,APEC,,None,Colibacillosis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4265AA,NA,1600,,,NA,6,38,3,18,9,8,6
ESC_AA4301AA,S1,traces-0pYSJGu;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4301AA,NA,1630,ST10 Cplx,,NA,6,11,4,8,187,8,2
ESC_AA4302AA,S2,traces-0ZJrwKA;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4302AA,NA,1631,,,NA,10,265,4,8,8,8,2
ESC_AA4303AA,F2,traces-0HaACHR;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4303AA,NA,1632,,A,NA,136,11,5,12,7,8,2
ESC_AA4304AA,F4_5B-1,traces-0YybMGb;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4304AA,NA,1633,,,NA,218,266,75,242,1,187,2
ESC_AA4305AA,F6,traces-0zPCDMg;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4305AA,NA,1634,ST10 Cplx,A,NA,10,11,4,8,12,8,2
ESC_AA4307AA,F7,traces-0ijwPIp;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4307AA,NA,1635,,,NA,10,7,4,8,12,8,161
ESC_AA4308AA,CS2,traces-0JIKZJs;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4308AA,NA,1636,ST10 Cplx,A,NA,10,267,4,8,12,8,2
ESC_AA4309AA,CS1_9C,traces-0pcqqAL;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4309AA,NA,1637,,,NA,6,29,16,1,24,8,7
ESC_AA4310AA,CS2_59C2,traces-0DnCRfL;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4310AA,NA,1638,ST10 Cplx,,NA,10,11,4,12,8,45,2
ESC_AA4318AA,VB 992349,traces-0zJpXCf;7GeneMLST;ND;;NA;Legacy,,Companion animal,Cat,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,On.t.:H45,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4318AA,NA,1643,,B2,NA,13,24,58,37,17,11,25
ESC_AA4418AA,VB 993385,traces-0jEvDQs;7GeneMLST;ND;;NA;Legacy,,Companion animal,Cat,2009,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,On.t.,On.t.:H1,,Pathogen,UPEC,,UTI,UTI,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4418AA,NA,1735,ST73 Cplx,,NA,36,273,9,13,17,11,25
ESC_AA4482AA,3823Z08,traces-0qqmUyZ;7GeneMLST;ND;;NA;Legacy,,Human,Human,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Statens Serum Institut,,,,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4482AA,NA,1800,,AxB1,NA,9,19,33,18,9,122,6
ESC_AA4509AA,3786z,traces-0ebwTyZ;7GeneMLST;ND;;NA;Legacy,,Human,Human,2008,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,Statens Serum Institut,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4509AA,NA,1822,ST350 Cplx,,NA,6,31,83,28,143,1,2
ESC_AA4676AA,IMT21586,traces-0khvMmk;7GeneMLST;ND;;NA;Legacy,,Domesticated animal,Horse,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IMT FU-Berlin,,,n.t.,,Pathogen,,,Wound infection,Soft tissue infection,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4676AA,NA,2010,,,NA,10,11,4,1,219,8,2
ESC_AA4690AA,F142H4Salp4,traces-0uKGhNe;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,2010,NA,NA,NA,Europe,Denmark,,,Copenhagen,NA,NA,NA,"Veterinary Disease Biology, KU",,,,,Pathogen,,,None,Chronic salpingitis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4690AA,NA,2024,,,NA,96,40,13,100,221,28,66
ESC_AA4704AA,F81,traces-0wRCjoo;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,"University of Copenhagen, Dept. of Vererinary Disease biology",,,,,,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4704AA,NA,2040,,AxB1,NA,6,29,22,18,11,8,41
ESC_AA4811AA,J20,traces-0JpfBDr;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2007,NA,NA,NA,Europe,Denmark,,,Copenhagen,NA,NA,NA,Dep. Veterinary Disease Biology,,,,D,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4811AA,NA,2144,,,NA,6,6,15,56,11,26,6
ESC_AA4827AA,R2AC,traces-0qFkgGJ;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2007,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,University of Copenhagen,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4827AA,NA,2168,,,NA,83,332,136,286,193,1,2
ESC_AA4855AA,R1AC,traces-0yFYTDW;7GeneMLST;ND;;NA;Legacy,,Companion animal,Dog,2007,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,University of Copenhagen,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4855AA,NA,2196,,,NA,51,48,45,287,229,218,37
ESC_AA4882AA,C0460,traces-0UVnCGx;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4882AA,NA,2223,ST10 Cplx,,NA,6,11,5,8,7,8,2
ESC_AA4890AA,F156H0S14,traces-0AGHwYh;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Pathogen,,,None,Chronic salpingitis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4890AA,NA,2230,ST23 Cplx,,NA,6,346,12,1,20,13,7
ESC_AA4960AA,L5_4A,traces-0EmsZbv;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,2010,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,B1,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4960AA,NA,2307,,AxB1,NA,6,4,33,136,99,8,6
ESC_AA4961AA,F130810,traces-0czQXVh;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,B1,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA4961AA,NA,2308,ST469 Cplx,AxB1,NA,6,65,5,1,11,8,6
ESC_AA5017AA,BC24H32,traces-0VoXDbJ;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5017AA,NA,2363,,,NA,10,7,4,8,12,184,2
ESC_AA5018AA,BC1W46,traces-0KnPSSt;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5018AA,NA,2364,,,NA,10,11,4,8,8,40,2
ESC_AA5019AA,BC24H51,traces-0PSRNTr;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5019AA,NA,2365,,,NA,10,11,278,8,8,8,2
ESC_AA5020AA,BC2W59,traces-0nbLkxa;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5020AA,NA,2366,,,NA,275,11,1,1,8,8,6
ESC_AA5021AA,BC2W12,traces-0jBhhtU;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5021AA,NA,2367,,,NA,6,11,4,303,7,8,6
ESC_AA5022AA,BC2W29,traces-0forDHs;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5022AA,NA,2368,,A,NA,275,357,1,1,8,8,6
ESC_AA5023AA,F100802,traces-0IJliaa;7GeneMLST;ND;;NA;Legacy,,Feed,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5023AA,NA,2369,,,NA,80,90,280,30,193,2,2
ESC_AA5024AA,F156M18,traces-0AcJewD;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Pathogen,,,None,Chronic salpingitis,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5024AA,NA,2370,ST350 Cplx,,NA,6,31,83,28,1,1,66
ESC_AA5025AA,BC35H5,traces-0NrTevF;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5025AA,NA,2371,,,NA,276,356,279,304,242,235,210
ESC_AA5036AA,BC1W23,traces-0tEuDCS;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5036AA,NA,2382,,,NA,20,45,12,43,70,32,2
ESC_AA5037AA,BC1W50,traces-0gJneMY;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5037AA,NA,2383,,,NA,52,116,55,101,113,30,38
ESC_AA5125AA,BC24H52,traces-0zdlYpL;7GeneMLST;ND;;NA;Legacy,,Poultry,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5125AA,NA,2479,,,NA,6,95,33,18,9,45,14
ESC_AA5126AA,L35E,traces-0zeahzi;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5126AA,NA,2480,ST101 Cplx,,NA,43,41,15,77,11,7,6
ESC_AA5127AA,L39E,traces-0mtrJEz;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5127AA,NA,2481,,,NA,6,11,4,8,42,8,2
ESC_AA5128AA,L13A,traces-0EEMJko;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5128AA,NA,2482,ST10 Cplx,,NA,10,11,4,12,42,45,2
ESC_AA5129AA,L16E,traces-0yyNKaN;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5129AA,NA,2483,,,NA,6,295,22,77,11,8,7
ESC_AA5130AA,L17E,traces-0dkMhvS;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5130AA,NA,2484,,,NA,6,4,4,77,24,8,14
ESC_AA5131AA,L18E,traces-0vNNUEQ;7GeneMLST;ND;;NA;Legacy,,Chicken Coop,Chicken,NA,NA,NA,NA,Europe,Denmark,,,,NA,NA,NA,IVS Life KU,,,,,Non pathogen,,,None,None,NA,NA,NA,NA,8/26/2015,8/26/2015,ESC_AA5131AA,NA,2485,,,NA,6,4,159,140,112,1,17
